관서명,기관명,CCTV_소계,살인 발생,살인 검거,강도 발생,강도 검거,강간 발생,강간 검거,절도 발생,절도 검거,폭력 발생,폭력 검거,인구_세대,인구_계,인구_남자,인구_여자,주소,경도,위도
중부서,중구,671,2,2,3,2,105,65,"1,395",477,"1,355","1,170",59481.0,133240.0,65790.0,67450.0,서울 중구 무학동 43,127.015407096962,37.5648663620004
종로서,종로구,1002,3,3,6,5,115,98,"1,070",413,"1,278","1,070",72654.0,162820.0,79675.0,83145.0,서울 종로구 중학동 19,126.9796122125294,37.57477115073343
남대문서,중구,671,1,0,6,4,65,46,"1,153",382,869,794,59481.0,133240.0,65790.0,67450.0,서울 중구 남대문로5가 567,126.973522158892,37.5548885600679
서대문서,서대문구,962,2,2,5,4,154,124,"1,812",738,"2,056","1,711",137207.0,327163.0,156765.0,170398.0,서울 서대문구 충정로3가 63-1,126.96268417175752,37.56060606374545
혜화서,종로구,1002,3,2,5,4,96,63,"1,114",424,"1,015",861,72654.0,162820.0,79675.0,83145.0,서울 종로구 명륜4가 96-5,127.00194500977392,37.58204391787134
용산서,용산구,1624,5,5,14,14,194,173,"1,557",587,"2,050","1,704",106544.0,244203.0,119132.0,125071.0,서울 용산구 한강로3가 40-969,126.963199752648,37.5317490291179
성북서,성북구,1464,2,2,2,1,86,71,953,409,"1,194","1,015",188512.0,461260.0,224076.0,237184.0,서울 성북구 삼선동5가 411,127.01670064115751,37.589358815718086
동대문서,동대문구,1294,5,5,13,13,173,146,"1,981",814,"2,548","2,227",159839.0,369496.0,182932.0,186564.0,서울 동대문구 청량리동 229,127.045794531742,37.5851344678433
마포서,마포구,574,8,8,14,10,294,247,"2,555",813,"2,983","2,519",169404.0,389649.0,185889.0,203760.0,서울 마포구 성산동 370,126.9019551411,37.5662141901015
영등포서,영등포구,904,14,12,22,20,295,183,"2,964",978,"3,572","2,961",165462.0,402985.0,202573.0,200412.0,서울 영등포구 영등포동 618-496,126.9078782908411,37.51568279614124
성동서,성동구,1062,4,4,9,8,126,119,"1,607",597,"1,612","1,395",130868.0,311244.0,153768.0,157476.0,서울 성동구 행당동 192-8,127.036472076258,37.5617947420747
동작서,동작구,1091,5,5,9,5,285,139,"1,865",661,"1,910","1,587",173033.0,412520.0,201217.0,211303.0,서울 동작구 상도동 176-3,126.94026947466944,37.50423743464916
광진서,광진구,707,4,4,14,26,240,220,"3,026","1,277","2,625","2,180",158960.0,372164.0,180992.0,191172.0,서울 광진구 자양동 870,127.08775364792672,37.5362821240492
서부서,은평구,1873,2,2,2,1,70,59,819,293,"1,192","1,038",201869.0,494388.0,240220.0,254168.0,서울 은평구 녹번동 177-15,126.92131688777928,37.60215667958602
강북서,강북구,748,7,8,14,13,153,126,"1,434",618,"2,649","2,348",141554.0,330192.0,161686.0,168506.0,서울 강북구 수유동 192-59,127.025538071854,37.6397513275933
금천서,금천구,1015,3,4,6,6,151,122,"1,567",888,"2,054","1,776",105146.0,255082.0,130558.0,124524.0,서울 금천구 시흥동 1030,126.89674921449216,37.45725314643252
중랑서,중랑구,660,13,12,11,9,187,148,"2,135",829,"2,847","2,407",177548.0,414503.0,206102.0,208401.0,서울 중랑구 신내동 810,127.10454224897,37.6182390801576
강남서,강남구,2780,3,3,15,12,300,225,"2,411",984,"2,465","2,146",234107.0,570500.0,273301.0,297199.0,서울 강남구 신사동 603,127.02887026009084,37.525418092797
관악서,관악구,1496,9,8,12,14,320,221,"2,706",827,"3,298","2,642",253826.0,525515.0,264763.0,260752.0,서울 관악구 봉천동 1695-5,126.951681999452,37.4743823586248
강서서,강서구,884,7,8,13,13,262,191,"2,096","1,260","3,207","2,718",247696.0,603772.0,294433.0,309339.0,서울 강서구 화곡동 980-16,126.849533759513,37.5509646154307
강동서,강동구,773,4,3,6,8,156,123,"2,366",789,"2,712","2,248",179676.0,453233.0,225427.0,227806.0,서울 강동구 성내동 541-1,127.12688982770432,37.52867274661258
종암서,성북구,1464,3,3,3,3,64,53,832,332,"1,015",840,188512.0,461260.0,224076.0,237184.0,서울 성북구 종암동 3-1260,127.0324103972117,37.60202348733786
구로서,구로구,1561,8,6,15,11,281,164,"2,335",889,"3,007","2,432",172272.0,447874.0,224436.0,223438.0,서울 강남구 신사동 528-3,127.02053199629474,37.52274746350495
서초서,서초구,1930,7,4,8,5,334,193,"1,982",905,"1,852","1,607",173856.0,450310.0,216264.0,234046.0,서울 서초구 반포동 114-2,126.991857716474,37.4984416680043
양천서,양천구,2034,3,5,6,3,120,105,"1,890",672,"2,509","2,030",176921.0,479978.0,237117.0,242861.0,서울 양천구 신정동 321,126.865542970902,37.5165549067037
송파서,송파구,618,11,10,13,10,220,178,"3,239","1,129","3,295","2,786",259883.0,667483.0,325040.0,342443.0,서울 송파구 마천동 29-1,127.142637507507,37.4999307947939
노원서,노원구,1265,10,10,7,7,197,121,"2,193",801,"2,723","2,329",219957.0,569384.0,276823.0,292561.0,서울 노원구 상계동 701-1,127.056430475217,37.6543617567106
방배서,서초구,1930,1,2,1,1,59,56,653,186,547,491,173856.0,450310.0,216264.0,234046.0,서울 서초구 방배동 782-23,126.98319082987646,37.492852708670206
은평서,은평구,1873,1,1,7,5,96,82,"1,095",418,"1,461","1,268",201869.0,494388.0,240220.0,254168.0,서울 은평구 불광동 산 24,126.928631038584,37.6285242467996
도봉서,도봉구,485,3,3,9,10,102,106,"1,063",478,"1,487","1,303",136613.0,348646.0,171026.0,177620.0,서울 도봉구 창동 17,127.05270598499143,37.65339041848567
수서서,강남구,2780,10,7,6,6,149,124,"1,439",666,"1,819","1,559",234107.0,570500.0,273301.0,297199.0,서울 강남구 개포동 14,127.077143044327,37.4934972653425
